n_value y_value
0 0.600000
1 1.700000
2 2.800000
3 3.900000
4 5.000000
5 6.100000
6 7.200000
7 8.300000
8 9.400001
9 10.500001
10 11.600000
11 12.700001
12 13.800001
13 14.900001
14 16.000000
15 17.100000
16 18.200001
17 19.300001
18 20.400002
19 21.500000
20 22.600000
21 23.700001
22 24.800001
23 25.900002
24 27.000002
25 28.100000
26 29.200001
27 30.300001
28 31.400002
29 32.500000
30 33.599998
31 34.700001
32 35.799999
33 36.899998
34 38.000000
35 39.099998
36 40.200001
37 41.299999
38 42.399998
39 43.500000
40 44.599998
41 45.700001
42 46.799999
43 47.899998
44 49.000000
45 50.099998
46 51.200001
47 52.299999
48 53.400002
49 54.500000
50 55.599998
51 56.700001
52 57.799999
53 58.900002
54 60.000000
55 61.099998
56 62.200001
57 63.299999
58 64.400002
59 65.500000
60 66.599998
61 67.699997
62 68.800003
63 69.900002
64 71.000000
65 72.099998
66 73.199997
67 74.300003
68 75.400002
69 76.500000
70 77.599998
71 78.699997
72 79.800003
73 80.900002
74 82.000000
75 83.099998
76 84.199997
77 85.300003
78 86.400002
79 87.500000
80 88.599998
81 89.699997
82 90.800003
83 91.900002
84 93.000000
85 94.099998
86 95.199997
87 96.300003
88 97.400002
89 98.500000
90 99.599998
91 100.699997
92 101.800003
93 102.900002
94 104.000000
95 105.099998
96 106.200005
97 107.300003
98 108.400002
99 109.500000
