n_value sum
0 0.600000
1 2.300000
2 5.100000
3 9.000000
4 14.000001
5 20.099998
6 27.300001
7 35.600002
8 45.000000
9 55.500000
10 67.099998
11 79.800003
12 93.600006
13 108.500000
14 124.500000
15 141.600006
16 159.800003
17 179.100006
18 199.500015
19 221.000000
20 243.600006
21 267.300018
22 292.100006
23 318.000031
24 345.000031
25 373.100006
26 402.300018
27 432.600037
28 464.000000
29 496.500031
30 530.100037
31 564.800049
32 600.600037
33 637.500000
34 675.500061
35 714.600037
36 754.800049
37 796.100037
38 838.500000
39 882.000061
40 926.600037
41 972.300049
42 1019.100037
43 1067.000000
44 1116.000000
45 1166.099976
46 1217.300049
47 1269.600098
48 1323.000122
49 1377.500000
50 1433.099976
51 1489.800049
52 1547.600098
53 1606.500122
54 1666.500122
55 1727.599976
56 1789.800049
57 1853.100098
58 1917.500000
59 1983.000000
60 2049.599854
61 2117.299805
62 2186.100098
63 2256.000000
64 2327.000000
65 2399.099854
66 2472.299805
67 2546.600098
68 2622.000000
69 2698.500000
70 2776.099854
71 2854.799805
72 2934.600098
73 3015.500000
74 3097.500000
75 3180.599854
76 3264.799805
77 3350.100098
78 3436.500000
79 3524.000000
80 3612.599854
81 3702.299805
82 3793.100098
83 3885.000000
84 3978.000000
85 4072.099854
86 4167.299805
87 4263.600098
88 4361.000000
89 4459.500000
90 4559.100098
91 4659.799805
92 4761.600098
93 4864.500000
94 4968.500000
95 5073.599609
96 5179.800293
97 5287.100098
98 5395.500000
99 5505.000000
