n   y(n)
0   10
1   26
2   48
3   76
4   110
5   150
6   196
7   248
8   306
9   370
10   440
11   516
12   598
13   686
14   780
15   880
16   986
17   1098
18   1216
19   1340
20   1470
21   1606
22   1748
23   1896
24   2050
25   2210
26   2376
27   2548
28   2726
29   2910
30   3100
31   3296
32   3498
33   3706
34   3920
35   4140
36   4366
37   4598
38   4836
39   5080
40   5330
41   5586
42   5848
43   6116
44   6390
45   6670
46   6956
47   7248
48   7546
49   7850
