n   x(n)*u(n)  s(n)
0   1.000000   1.000000
1   3.000000   3.250000
2   7.000000   7.250000
3   13.000000   13.500000
4   22.000000   22.500000
5   34.000000   34.750000
6   50.000000   50.750000
7   70.000000   71.000000
8   95.000000   96.000000
9   125.000000   126.250000
10   161.000000   162.250000
11   203.000000   204.500000
12   252.000000   253.500000
13   308.000000   309.750000
14   372.000000   373.750000
15   444.000000   446.000000
16   525.000000   527.000000
17   615.000000   617.250000
18   715.000000   717.250000
19   825.000000   827.500000
20   946.000000   948.500000
21   1078.000000   1080.750000
22   1222.000000   1224.750000
23   1378.000000   1381.000000
24   1547.000000   1550.000000
25   1729.000000   1732.250000
26   1925.000000   1928.250000
27   2135.000000   2138.500000
28   2360.000000   2363.500000
29   2600.000000   2603.750000
30   2856.000000   2859.750000
31   3128.000000   3132.000000
32   3417.000000   3421.000000
33   3723.000000   3727.250000
34   4047.000000   4051.250000
35   4389.000000   4393.500000
36   4750.000000   4754.500000
37   5130.000000   5134.750000
38   5530.000000   5534.750000
39   5950.000000   5955.000000
40   6391.000000   6396.000000
41   6853.000000   6858.250000
42   7337.000000   7342.250000
43   7843.000000   7848.500000
44   8372.000000   8377.500000
45   8924.000000   8929.750000
46   9500.000000   9505.750000
47   10100.000000   10106.000000
48   10725.000000   10731.000000
49   11375.000000   11381.250000
50   12051.000000   12057.250000
51   12753.000000   12759.500000
52   13482.000000   13488.500000
53   14238.000000   14244.750000
54   15022.000000   15028.750000
55   15834.000000   15841.000000
56   16675.000000   16682.000000
57   17545.000000   17552.250000
58   18445.000000   18452.250000
59   19375.000000   19382.500000
60   20336.000000   20343.500000
61   21328.000000   21335.750000
62   22352.000000   22359.750000
63   23408.000000   23416.000000
64   24497.000000   24505.000000
65   25619.000000   25627.250000
66   26775.000000   26783.250000
67   27965.000000   27973.500000
68   29190.000000   29198.500000
69   30450.000000   30458.750000
70   31746.000000   31754.750000
71   33078.000000   33087.000000
72   34447.000000   34456.000000
73   35853.000000   35862.250000
74   37297.000000   37306.250000
75   38779.000000   38788.500000
76   40300.000000   40309.500000
77   41860.000000   41869.750000
78   43460.000000   43469.750000
79   45100.000000   45110.000000
80   46781.000000   46791.000000
81   48503.000000   48513.250000
82   50267.000000   50277.250000
83   52073.000000   52083.500000
84   53922.000000   53932.500000
85   55814.000000   55824.750000
86   57750.000000   57760.750000
87   59730.000000   59741.000000
88   61755.000000   61766.000000
89   63825.000000   63836.250000
90   65941.000000   65952.250000
91   68103.000000   68114.500000
92   70312.000000   70323.500000
93   72568.000000   72579.750000
94   74872.000000   74883.750000
95   77224.000000   77236.000000
96   79625.000000   79637.000000
97   82075.000000   82087.250000
98   84575.000000   84587.250000
99   87125.000000   87137.500000
100   89726.000000   89738.500000
101   92378.000000   92390.750000
102   95082.000000   95094.750000
103   97838.000000   97851.000000
104   100647.000000   100660.000000
105   103509.000000   103522.250000
106   106425.000000   106438.250000
107   109395.000000   109408.500000
108   112420.000000   112433.500000
109   115500.000000   115513.750000
110   118636.000000   118649.750000
111   121828.000000   121842.000000
112   125077.000000   125091.000000
113   128383.000000   128397.250000
114   131747.000000   131761.250000
115   135169.000000   135183.500000
116   138650.000000   138664.500000
117   142190.000000   142204.750000
118   145790.000000   145804.750000
119   149450.000000   149465.000000
120   153171.000000   153186.000000
121   156953.000000   156968.250000
122   160797.000000   160812.250000
123   164703.000000   164718.500000
124   168672.000000   168687.500000
125   172704.000000   172719.750000
126   176800.000000   176815.750000
127   180960.000000   180976.000000
128   185185.000000   185201.000000
129   189475.000000   189491.250000
130   193831.000000   193847.250000
131   198253.000000   198269.500000
132   202742.000000   202758.500000
133   207298.000000   207314.750000
134   211922.000000   211938.750000
135   216614.000000   216631.000000
136   221375.000000   221392.000000
137   226205.000000   226222.250000
138   231105.000000   231122.250000
139   236075.000000   236092.500000
140   241116.000000   241133.500000
141   246228.000000   246245.750000
142   251412.000000   251429.750000
143   256668.000000   256686.000000
144   261997.000000   262015.000000
145   267399.000000   267417.250000
146   272875.000000   272893.250000
147   278425.000000   278443.500000
148   284050.000000   284068.500000
149   289750.000000   289768.750000
150   295526.000000   295544.750000
151   301378.000000   301397.000000
152   307307.000000   307326.000000
153   313313.000000   313332.250000
154   319397.000000   319416.250000
155   325559.000000   325578.500000
156   331800.000000   331819.500000
157   338120.000000   338139.750000
158   344520.000000   344539.750000
159   351000.000000   351020.000000
160   357561.000000   357581.000000
161   364203.000000   364223.250000
162   370927.000000   370947.250000
163   377733.000000   377753.500000
164   384622.000000   384642.500000
165   391594.000000   391614.750000
166   398650.000000   398670.750000
167   405790.000000   405811.000000
168   413015.000000   413036.000000
169   420325.000000   420346.250000
170   427721.000000   427742.250000
171   435203.000000   435224.500000
172   442772.000000   442793.500000
173   450428.000000   450449.750000
174   458172.000000   458193.750000
175   466004.000000   466026.000000
176   473925.000000   473947.000000
177   481935.000000   481957.250000
178   490035.000000   490057.250000
179   498225.000000   498247.500000
180   506506.000000   506528.500000
181   514878.000000   514900.750000
182   523342.000000   523364.750000
183   531898.000000   531921.000000
184   540547.000000   540570.000000
185   549289.000000   549312.250000
186   558125.000000   558148.250000
187   567055.000000   567078.500000
188   576080.000000   576103.500000
189   585200.000000   585223.750000
190   594416.000000   594439.750000
191   603728.000000   603752.000000
192   613137.000000   613161.000000
193   622643.000000   622667.250000
194   632247.000000   632271.250000
195   641949.000000   641973.500000
196   651750.000000   651774.500000
197   661650.000000   661674.750000
198   671650.000000   671674.750000
199   681750.000000   681775.000000
