n     x1(n)     x2(n)      y1(n)     y2(n)
-10 0.000000 0.000000 0.000000 0.000000
-9 0.000000 0.000000 0.000000 0.000000
-8 0.000000 0.000000 0.000000 0.000000
-7 0.000000 0.000000 0.000000 0.000000
-6 0.000000 0.000000 0.000000 0.000000
-5 0.000000 0.000000 0.000000 0.000000
-4 0.000000 0.000000 0.000000 0.000000
-3 0.000000 0.000000 0.000000 0.000000
-2 0.000000 0.000000 0.000000 0.000000
-1 0.000000 0.000000 0.000000 0.000000
0 4.000000 2.000000 4.000000 2.000000
1 18.000000 12.000000 22.000000 14.000000
2 48.000000 36.000000 70.000000 50.000000
3 100.000000 80.000000 170.000000 130.000000
4 180.000000 150.000000 350.000000 280.000000
5 294.000000 252.000000 644.000000 532.000000
6 448.000000 392.000000 1092.000000 924.000000
7 648.000000 576.000000 1740.000000 1500.000000
8 900.000000 810.000000 2640.000000 2310.000000
9 1210.000000 1100.000000 3850.000000 3410.000000
10 1584.000000 1452.000000 5434.000000 4862.000000
