Time(sec)     	Capacitor Charge(C)   	Capacitor Voltage(V)   	Current(A)     	Capacitor Energy(J)       	Inductor Energy(J)
0.0000   	    0.010000   	          200.000000   	           -0.000000   	             1.000000   	         -0.000000
0.0001   	    0.009990   	          199.800033   	           -8.941291   	             0.998001   	          0.001999
0.0002   	    0.009960   	          199.200533   	          -17.864702   	             0.992021   	          0.007979
0.0003   	    0.009910   	          198.202698   	          -26.752390   	             0.982108   	          0.017892
0.0004   	    0.009840   	          196.808524   	          -35.586582   	             0.968340   	          0.031660
0.0005   	    0.009751   	          195.020799   	          -44.349612   	             0.950828   	          0.049172
0.0006   	    0.009642   	          192.843096   	          -53.023958   	             0.929711   	          0.070289
0.0007   	    0.009514   	          190.279772   	          -61.592274   	             0.905160   	          0.094840
0.0008   	    0.009367   	          187.335952   	          -70.037426   	             0.877369   	          0.122631
0.0009   	    0.009201   	          184.017522   	          -78.342526   	             0.846561   	          0.153439
0.0010   	    0.009017   	          180.331119   	          -86.490968   	             0.812983   	          0.187017
0.0011   	    0.008814   	          176.284113   	          -94.466456   	             0.776902   	          0.223098
0.0012   	    0.008594   	          171.884598   	         -102.253043   	             0.738608   	          0.261392
0.0013   	    0.008357   	          167.141372   	         -109.835158   	             0.698406   	          0.301594
0.0014   	    0.008103   	          162.063918   	         -117.197639   	             0.656618   	          0.343382
0.0015   	    0.007833   	          156.662390   	         -124.325764   	             0.613578   	          0.386422
0.0016   	    0.007547   	          150.947590   	         -131.205279   	             0.569629   	          0.430371
0.0017   	    0.007247   	          144.930944   	         -137.822427   	             0.525124   	          0.474876
0.0018   	    0.006931   	          138.624486   	         -144.163976   	             0.480419   	          0.519581
0.0019   	    0.006602   	          132.040824   	         -150.217245   	             0.435869   	          0.564131
0.0020   	    0.006260   	          125.193125   	         -155.970130   	             0.391833   	          0.608167
0.0021   	    0.005905   	          118.095081   	         -161.411127   	             0.348661   	          0.651339
0.0022   	    0.005538   	          110.760887   	         -166.529355   	             0.306699   	          0.693301
0.0023   	    0.005160   	          103.205207   	         -171.314580   	             0.266283   	          0.733717
0.0024   	    0.004772   	           95.443152   	         -175.757232   	             0.227735   	          0.772265
0.0025   	    0.004375   	           87.490242   	         -179.848429   	             0.191364   	          0.808636
0.0026   	    0.003968   	           79.362381   	         -183.579989   	             0.157460   	          0.842540
0.0027   	    0.003554   	           71.075821   	         -186.944451   	             0.126294   	          0.873706
