Time(s)	Current(A)	Power(W)
0.000000   -0.000000   0.000000
0.000003   -11.651398   135.755077
0.000006   -22.582833   509.984345
0.000009   -32.798013   1075.709664
0.000012   -42.302938   1789.538532
0.000015   -51.105742   2611.796845
0.000018   -59.216544   3506.599093
0.000021   -66.647295   4441.861945
0.000024   -73.411629   5389.267277
0.000027   -79.524718   6324.180723
0.000030   -85.003128   7225.531744
0.000033   -89.864682   8075.661061
0.000036   -94.128322   8860.141090
0.000039   -97.813980   9567.574761
0.000042   -100.942448   10189.377770
0.000045   -103.535255   10719.549015
0.000048   -105.614552   11154.433541
0.000051   -107.202994   11492.481993
0.000054   -108.323636   11734.010129
0.000057   -108.999824   11880.961586
0.000060   -109.255099   11936.676658
0.000063   -109.113104   11905.669484
0.000066   -108.597494   11793.415641
0.000069   -107.731851   11606.151783
0.000072   -106.539611   11350.688633
0.000075   -105.043983   11034.238282
0.000078   -103.267887   10664.256473
0.000081   -101.233889   10248.300269
0.000084   -98.964141   9793.901240
0.000087   -96.480330   9308.454088
0.000090   -93.803627   8799.120442
0.000093   -90.954645   8272.747357
0.000096   -87.953396   7735.799936
0.000099   -84.819263   7194.307346
0.000102   -81.570959   6653.821408
0.000105   -78.226510   6119.386885
0.000108   -74.803225   5595.522491
0.000111   -71.317681   5086.211667
0.000114   -67.785707   4594.902089
0.000117   -64.222371   4124.512923
0.000120   -60.641972   3677.448811
0.000123   -57.058037   3255.619632
0.000126   -53.483316   2860.465073
0.000129   -49.929782   2492.983132
0.000132   -46.408638   2153.761692
0.000135   -42.930320   1843.012373
0.000138   -39.504505   1560.605931
0.000141   -36.140124   1306.108528
0.000144   -32.845369   1078.818271
0.000147   -29.627715   877.801482
0.000150   -26.493928   701.928216
0.000153   -23.450088   549.906621
0.000156   -20.501605   420.315801
0.000159   -17.653240   311.636876
0.000162   -14.909126   222.282037
0.000165   -12.272791   150.621389
0.000168   -9.747178   95.007481
0.000171   -7.334674   53.797441
0.000174   -5.037128   25.372662
0.000177   -2.855881   8.156059
0.000180   -0.791788   0.626929
0.000183   1.154756   1.333461
0.000186   2.983790   8.903003
0.000189   4.695763   22.050193
0.000192   6.291507   39.583061
0.000195   7.772212   60.407272
0.000198   9.139400   83.528638
0.000201   10.394905   108.054054
0.000204   11.540842   133.191042
0.000207   12.579588   158.246030
0.000210   13.513755   182.621563
0.000213   14.346169   205.812569
0.000216   15.079849   227.401857
0.000219   15.717983   247.054986
0.000222   16.263906   264.514632
0.000225   16.721083   279.594603
0.000228   17.093086   292.173600
0.000231   17.383580   302.188850
0.000234   17.596298   309.629704
0.000237   17.735030   314.531283
0.000240   17.803603   316.968266
0.000243   17.805866   317.048866
0.000246   17.745678   314.909072
0.000249   17.626888   310.707189
0.000252   17.453330   304.618720
0.000255   17.228802   296.831627
0.000258   16.957063   287.541972
0.000261   16.641814   276.949973
0.000264   16.286696   265.256467
0.000267   15.895276   252.659787
0.000270   15.471039   239.353045
0.000273   15.017384   225.521812
0.000276   14.537612   211.342176
0.000279   14.034927   196.979173
0.000282   13.512422   182.585551
0.000285   12.973082   168.300858
0.000288   12.419776   154.250832
0.000291   11.855254   140.547050
0.000294   11.282146   127.286829
0.000297   10.702959   114.553337
0.000300   10.120074   102.415897
0.000303   9.535746   90.930458
0.000306   8.952105   80.140192
0.000309   8.371154   70.076221
0.000312   7.794769   60.758421
0.000315   7.224701   52.196301
0.000318   6.662577   44.389930
0.000321   6.109901   37.330895
0.000324   5.568058   31.003271
0.000327   5.038312   25.384587
0.000330   4.521812   20.446782
0.000333   4.019593   16.157130
0.000336   3.532582   12.479133
0.000339   3.061595   9.373364
0.000342   2.607348   6.798261
0.000345   2.170454   4.710868
0.000348   1.751430   3.067508
0.000351   1.350703   1.824399
0.000354   0.968607   0.938200
0.000357   0.605395   0.366503
0.000360   0.261236   0.068244
0.000363   -0.063776   0.004067
0.000366   -0.369619   0.136618
0.000369   -0.656340   0.430782
0.000372   -0.924050   0.853868
0.000375   -1.172920   1.375742
0.000378   -1.403179   1.968911
0.000381   -1.615104   2.608561
0.000384   -1.809023   3.272563
0.000387   -1.985306   3.941439
0.000390   -2.144365   4.598300
0.000393   -2.286646   5.228752
0.000396   -2.412631   5.820789
0.000399   -2.522828   6.364660
0.000402   -2.617771   6.852725
0.000405   -2.698018   7.279299
0.000408   -2.764144   7.640490
0.000411   -2.816740   7.934027
0.000414   -2.856413   8.159095
0.000417   -2.883775   8.316160
0.000420   -2.899450   8.406809
0.000423   -2.904062   8.433578
0.000426   -2.898242   8.399807
0.000429   -2.882617   8.309482
0.000432   -2.857814   8.167101
0.000435   -2.824455   7.977543
0.000438   -2.783154   7.745946
0.000441   -2.734520   7.477600
0.000444   -2.679150   7.177847
0.000447   -2.617631   6.851994
0.000450   -2.550537   6.505238
0.000453   -2.478426   6.142598
0.000456   -2.401845   5.768860
0.000459   -2.321322   5.388534
0.000462   -2.237367   5.005812
0.000465   -2.150476   4.624548
0.000468   -2.061124   4.248230
0.000471   -1.969766   3.879976
0.000474   -1.876839   3.522524
0.000477   -1.782760   3.178234
0.000480   -1.687926   2.849094
0.000483   -1.592712   2.536732
0.000486   -1.497474   2.242428
0.000489   -1.402546   1.967137
0.000492   -1.308244   1.711501
0.000495   -1.214859   1.475882
0.000498   -1.122666   1.260379
0.000502   -1.031918   1.064854
0.000505   -0.942848   0.888962
